RBD;DV_RBD;NOM_RBD;RBD_A1;RBD_A2;COD_DEPE;COD_DEPE2;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;RURAL_RBD;EFECTIVR;SUPERAR;INICIAR;MEJORAR;INTEGRAR;IGUALDR;CLUSTER;INDICER;SEL2018_25;SEL2018_35;SEL
7412;8;ESCUELA PARTICULAR N.127 VIRGEN DE CANDELARIA; ; ;3;2;10;103;10301;OSORNO;103;OSORNO;2;49,327814290332;61,3256323668598;94,28;100;66,75;97,0881932846955;1022;67,7761708727766;2;2;3
7418;7;ESCUELA BASICA SAN PABLO; ; ;2;1;10;103;10307;SAN PABLO;103;OSORNO;1;44,6426939289327;52,7767220499903;83,1;100;85,6666666666667;95,9755609853801;1013;63,6792356778193;2;2;3
7419;5;ESCUELA DELICIO CARDENAS BUSTAMANTE; ; ;2;1;10;103;10307;SAN PABLO;103;OSORNO;1;26,8674655912737;50,2455857265656;77,96;100;70,6666666666667;93,4144755404015;1013;54,7718442244313;2;2;3
7420;9;ESCUELA RURAL SAN PEDRO; ; ;2;1;10;103;10307;SAN PABLO;103;OSORNO;2;31,1863123725061;60,7785173665586;54,7;100;44,25;97,2281734971436;1023;57,4416186098353;2;2;3
7422;5;ESCUELA RURAL QUITRA QUITRA; ; ;2;1;10;103;10307;SAN PABLO;103;OSORNO;2;45,7301035358867;61,0506918906775;44,9777777777778;100;24;91,2997066638449;1023;59,9989341703803;2;2;3
7423;3;ESCUELA RURAL ALEJANDRO VASQUEZ BALDEVELLANO; ; ;2;1;10;103;10307;SAN PABLO;103;OSORNO;2;48,1063626779136;62,2563978760922;78,4;100;60;91,2997066638449;1022;65,0210810621797;2;2;3
7424;1;ESCUELA RURAL VILLA CARACOL; ; ;2;1;10;103;10307;SAN PABLO;103;OSORNO;2;67,206433722798;62,2563978760922;75,0222222222222;100;41,75;91,7287912110485;1022;71,0673392825051;1;2;1
7427;6;ESCUEAL RURAL QUILEN; ; ;2;1;10;103;10307;SAN PABLO;103;OSORNO;2;49,3344802261366;57,375558243908;95,5888888888889;100;97,4;91,1913606152223;1022;66,986346660647;2;2;3
7431;4;ESCUELA RURAL TRUMAO; ; ;2;1;10;103;10307;SAN PABLO;103;OSORNO;2;49,0484001376231;60,7785173665586;81,4666666666667;100;100;92,8173304972903;1023;67,4737056229608;2;1;2
7432;2;ESCUELA RURAL JULIO MOHR SCHULER; ; ;2;1;10;103;10307;SAN PABLO;103;OSORNO;2;30,8046574965771;60,7785173665586;75,4888888888889;100;62,8;92,0232992740071;1022;58,3301673099848;2;2;3
7433;0;ESCUELA RURAL LA POZA; ; ;2;1;10;103;10307;SAN PABLO;103;OSORNO;2;35,6140306654328;60,7785173665586;77,4444444444444;100;47,4;92,1453353978184;1023;59,4838166630332;2;2;3
7434;9;ESCUELA PARTICULAR N.143 SANTA CRUZ; ; ;3;2;10;103;10307;SAN PABLO;103;OSORNO;1;51,6555550291547;60,3105521006721;93,12;100;81;97,2851577779396;1012;69,0394446601221;2;1;2
7436;5;ESCUELA PARTICULAR N.145 QUITRA QUITRA; ; ;3;2;10;103;10307;SAN PABLO;103;OSORNO;2;43,2202177070828;60,7785173665411;59,6444444444444;87,5;21,3333333333333;95,6033560035246;1021;60,4375370683609;2;2;3
7437;3;ESCUELA PARTICULAR N.148 LOLOLHUE; ; ;3;2;10;103;10307;SAN PABLO;103;OSORNO;2;45,7301035358867;61,0506918906775;72,2;87,5;57,3333333333333;95,3712392187219;1023;63,9446713324532;2;2;3
