RBD;DV_RBD;NOM_RBD;COD_DEPE2;COD_REG_RBD;COD_COM_RBD;NOM_COM_RBD;RURAL_RBD;EFECTIVR;SUPERAR;INICIAR;MEJORAR;INTEGRAR;IGUALDR;CLUSTER;INDICER;SEL2022_25;SEL2022_35;SEL
10541;4;LICEO COMERCIAL DE SAN BERNARDO;4;13;13401;SAN BERNARDO;0;34.90126;61.98965;85.33333;100.0;90.4;87.99013;1333;61.2684;2;2;3
10542;2;CENTRO EDUCACIONAL BALDOMERO LILLO;1;13;13401;SAN BERNARDO;0;39.56542;74.50836;95.83333;100.0;92.2;85.77825;1333;66.7328;1;2;1
10543;0;LICEO POLIVALENTE A-127 FIDEL PINOCHET LE-BRUN;1;13;13401;SAN BERNARDO;0;29.47937;67.1357;0.0;98.64865;0.0;75.69929;1333;48.3322;2;2;3
10544;9;LICEO ELVIRA BRADY MALDONADO-SN.BERNARDO;1;13;13401;SAN BERNARDO;0;30.27794;71.59149;86.43333;100.0;68.8;89.54046;1333;61.5734;2;2;3
10545;7;LICEO IND. MIGUEL AYLWIN GAJARDO;1;13;13401;SAN BERNARDO;0;24.71428;65.08725;0.0;87.83784;0.0;83.12203;1333;47.4123;2;2;3
10546;5;ESCUELA PILAR MOLINER DE NUEZ;1;13;13401;SAN BERNARDO;0;39.00686;61.70902;95.3;100.0;82.4;82.03497;1312;61.5968;2;2;3
10547;3;ESCUELA REPUBLICA DEL BRASIL;1;13;13401;SAN BERNARDO;0;32.5495;66.08231;81.925;100.0;50.4;86.24601;1312;58.956;2;2;3
10548;1;ESCUELA ISABEL RIQUELME;1;13;13401;SAN BERNARDO;0;36.21057;72.30023;97.8125;100.0;51.6;88.93721;1313;63.6569;1;2;1
10550;3;ESCUELA L.GRAL. BERNARDO O´HIGGINS;1;13;13401;SAN BERNARDO;0;30.31211;63.14161;95.55;100.0;80.0;85.92015;1313;59.5306;2;2;3
10551;1;LICEO POLIV. LUCILA GODOY ALCAYAGA;1;13;13401;SAN BERNARDO;0;23.03661;67.67691;85.98889;93.24324;69.8;65.14048;1333;52.3182;2;2;3
10553;8;ESCUELA MARCIAL MARTINEZ FERRARI;1;13;13105;EL BOSQUE;0;34.77054;66.1106;89.375;95.94595;59.6;80.14727;1312;59.2699;2;2;3
10554;6;ESCUELA GENERAL RENE SCHNEIDER CHEREAU;1;13;13401;SAN BERNARDO;0;34.89383;62.33917;0.0;100.0;0.0;83.51777;1313;50.7396;2;2;3
10555;4;ESCUELA BASICA BASE EL BOSQUE;1;13;13105;EL BOSQUE;0;45.46931;71.08226;94.0;100.0;92.0;81.29224;1313;66.851;1;2;1
10556;2;ESCUELA ALEMANIA;1;13;13401;SAN BERNARDO;0;34.62924;60.33472;82.6125;100.0;64.6;82.28375;1313;57.9957;2;2;3
10557;0;ESCUELA GENERAL ALBERTO A. BACHELET MARTINEZ;1;13;13105;EL BOSQUE;0;35.31451;65.05383;92.2;100.0;75.76;83.7243;1313;61.0208;2;2;3
10558;9;ESCUELA REPUBLICA DE LOS EE.UU. DE AMERICA;1;13;13401;SAN BERNARDO;0;24.00245;67.01847;99.125;98.64865;77.8;86.5824;1313;58.5047;2;2;3
10559;7;ESCUELA BERNARDO LEIGHTON;1;13;13105;EL BOSQUE;0;27.13585;55.48447;91.325;100.0;60.16;80.07724;1313;53.6804;2;2;3
10560;0;ESCUELA JAVIERA CARRERA VERDUGO;1;13;13401;SAN BERNARDO;0;37.13013;64.00984;86.55;100.0;86.4;82.15137;1313;61.2472;2;2;3
10561;9;ESCUELA CLAUDIO ARRAU LEON;1;13;13105;EL BOSQUE;0;34.13696;64.56972;91.4375;100.0;71.8;86.37947;1313;60.7899;2;2;3
10563;5;ESCUELA MANUEL MAGALLANES MOURE;1;13;13401;SAN BERNARDO;0;34.0842;59.61422;0.0;100.0;0.0;80.55259;1313;49.0247;2;2;3
10564;3;ESCUELA REPUBLICA DEL PERU;1;13;13401;SAN BERNARDO;0;33.99609;60.86414;85.025;100.0;52.16;85.47304;1312;58.1341;2;2;3
10565;1;ESCUELA DIEGO PORTALES;1;13;13401;SAN BERNARDO;0;30.16108;66.42624;96.025;100.0;89.4;81.26907;1313;59.8696;2;2;3
10567;8;ESCUELA MAHUIDA;1;13;13401;SAN BERNARDO;0;25.16257;58.5027;98.75;98.64865;92.4;70.82619;1312;53.7906;2;2;3
10568;6;ESCUELA ORLANDO LETELIER;1;13;13105;EL BOSQUE;0;30.70552;65.49161;91.2625;100.0;48.6;83.54972;1313;57.9854;2;2;3
10569;4;LICEO NUEVO PORVENIR;1;13;13401;SAN BERNARDO;0;28.76067;65.19652;78.0375;100.0;30.76;77.52353;1313;54.1719;2;2;3
10570;8;ESCUELA BASICA DR LUIS SEPULVEDA SALVATI;1;13;13401;SAN BERNARDO;0;32.40612;55.08634;97.75;100.0;71.2;84.44426;1312;57.4172;2;2;3
10571;6;ESCUELA ESCRITORA  MARCELA PAZ;1;13;13401;SAN BERNARDO;0;27.32713;61.45804;83.975;100.0;41.6;82.53261;1313;54.595;2;2;3
