comuna;cut_comuna;region;cut_region;fecha;delito;delito_n
Cholchol;9121;La Araucanía;9;2019-04-01;Robo con violación;0,000
Ovalle;4301;Coquimbo;4;2021-09-01;Amenazas o riña;79,000
San Pedro de Atacama;2203;Antofagasta;2;2021-11-01;Robos en lugar no habitado;0,000
Cabo de Hornos;12201;Magallanes y de la Antártica Chilena;12;2022-08-01;Ofensas al pudor;0,000
Diego de Almagro;3202;Atacama;3;2020-09-01;Lesiones menos graves;2,000
Graneros;6106;Libertador Gral. Bernardo O'Higgins;6;2023-10-01;Robo de objetos de o desde vehículo;3,000
La Cisterna;13109;Metropolitana de Santiago;13;2019-12-01;Auxilio al suicidio;0,000
Cabrero;8303;Biobío;8;2022-04-01;Violación con homicidio;0,000
La Cruz;5504;Valparaíso;5;2019-03-01;Robos con violencia o intimidación;2,000
María Elena;2302;Antofagasta;2;2019-12-01;Femicidio;0,000
Río Negro;10305;Los Lagos;10;2021-09-01;Consumo de alcohol y drogas en la vía pública;6,000
Putre;15201;Arica y Parinacota;15;2018-11-01;Robo con homicidio;0,000
Temuco;9101;La Araucanía;9;2022-08-01;Amenazas o riña;207,000
Retiro;7405;Maule;7;2018-05-01;Robo de vehículo motorizado;0,000
Colbún;7402;Maule;7;2020-09-01;Otros robos con fuerza en las cosas;0,000
Algarrobo;5602;Valparaíso;5;2020-02-01;Otras violaciones;0,000
Providencia;13123;Metropolitana de Santiago;13;2024-01-01;Desórdenes públicos;0,000
Temuco;9101;La Araucanía;9;2023-10-01;Tortura o apremios ilegítimos con violación;0,000
Quellón;10208;Los Lagos;10;2021-06-01;Violencia intrafamiliar a niño o niña;0,000
Lanco;14103;Los Ríos;14;2020-01-01;Desórdenes públicos;0,000
Chillán;16101;Ñuble;16;2018-08-01;Amenazas o riña;127,000
Contulmo;8204;Biobío;8;2022-09-01;Robo de vehículo motorizado;0,000
Las Cabras;6107;Libertador Gral. Bernardo O'Higgins;6;2019-12-01;Femicidio no íntimo;0,000
El Carmen;16104;Ñuble;16;2019-06-01;Consumo de alcohol y drogas en la vía pública;3,000
Pelarco;7106;Maule;7;2023-09-01;Ofensas al pudor;0,000
San Nicolás;16305;Ñuble;16;2021-08-01;Hurtos;4,000
Galvarino;9106;La Araucanía;9;2019-01-01;Comercio ilegal;0,000
